game_victor,set_victor,momentum_normalized_average
0,0,0.60639085088866
0,0,0.6528774608812389
0,0,0.6779419698940826
1,0,0.6791981354207186
0,0,0.6859423296487032
0,0,0.6927731642205978
0,0,0.6860191033155993
0,0,0.685020527637733
0,0,0.6833475513608787
1,0,0.6860072337024011
0,0,0.6963831187925146
0,0,0.6960227790017203
0,0,0.6961511567502328
0,0,0.6933389758585934
0,0,0.6708830669699233
1,0,0.6541503875212356
0,0,0.6510116591032428
0,0,0.6485234568842978
0,0,0.6487982358043993
0,0,0.6455384015693664
0,0,0.6456605380713458
0,0,0.6468185757943784
0,0,0.6450534084137794
2,0,0.6408209172614829
0,0,0.6132428488732373
0,0,0.5793920857172912
0,0,0.577261742794868
2,0,0.5546289982360825
0,0,0.5710124897877438
0,0,0.5974337974985253
0,0,0.613132736950759
0,0,0.6118024601367018
0,0,0.6102836651493099
0,0,0.6121003354352358
0,0,0.6148623300058741
1,0,0.6148990603668975
0,0,0.5854502995996363
0,0,0.5683433172695538
0,0,0.5510247266895898
0,0,0.5473132784510807
1,0,0.5765550438503484
0,0,0.5783192836426808
0,0,0.6090172351925598
0,0,0.6003723800367005
0,0,0.5979131223510585
0,0,0.6063278331005669
0,0,0.6133743812365178
0,0,0.6109264094882848
0,0,0.6069022959951809
0,0,0.605647814376145
2,0,0.5796354560867832
0,0,0.610783483946151
0,0,0.6271716157983044
0,0,0.6453309063400555
1,1,0.670408782995705
0,0,0.6407912546077704
0,0,0.6151550913219702
0,0,0.5817271288505866
2,0,0.5500941879057124
0,0,0.549122101593211
0,0,0.5453880990697102
0,0,0.5393781051021906
0,0,0.5400197441515255
1,0,0.5416398579169176
0,0,0.5133791775100413
0,0,0.5140115920728455
0,0,0.4902465369349648
2,0,0.4704201706240099
0,0,0.4747852360006782
0,0,0.4758679346065808
0,0,0.503003169644415
0,0,0.5066448276666743
0,0,0.5283273224522824
0,0,0.551344546693946
0,0,0.5263121895809572
0,0,0.504566483014474
0,0,0.4827846566563002
0,0,0.4624594580324961
0,0,0.43709629376327436
0,0,0.4627718029328032
0,0,0.4643335615025757
1,0,0.4688463716176291
0,0,0.46295352950272994
0,0,0.43974798281420396
0,0,0.4179054566689825
0,0,0.3912956621459706
0,0,0.38369356153265227
2,0,0.36558122752263794
0,0,0.3418693749180349
0,0,0.3671791263895236
0,0,0.3636888049675526
0,0,0.35997807012634586
0,0,0.38384744526935616
1,0,0.41693851657532116
0,0,0.3871941071433712
0,0,0.4147163907806278
0,0,0.40474170252587777
0,0,0.4049056703328978
2,0,0.4033181938611842
0,0,0.42688481643902015
0,0,0.44910479003532294
0,0,0.4751151925024753
0,0,0.4749623672077091
0,0,0.5029418610156272
0,0,0.49949060591164846
0,0,0.525493367705097
0,0,0.5513879685373244
0,0,0.5479264791631415
1,0,0.5409175594340477
0,0,0.5482592143373741
0,0,0.5138721852277707
0,0,0.5466062954424905
0,0,0.5513835030382732
0,0,0.5500946637504373
2,0,0.5521232523672083
0,0,0.5554893140384852
0,0,0.5553788944033436
0,0,0.5702763091630296
0,0,0.5641779483320122
1,0,0.5613895697732614
0,0,0.5390849534266445
0,0,0.5194579830618632
0,0,0.4990614276284051
0,0,0.47723014182782975
0,0,0.503855785989127
0,0,0.5309883111864804
0,0,0.5258276207901742
2,0,0.548991456873282
0,0,0.5720594072513432
0,0,0.567550371003908
0,0,0.5643617768542205
1,0,0.5639517534215148
0,0,0.5680862011136242
0,0,0.5697090588173549
0,0,0.5708966862719816
0,0,0.5911765515080813
0,0,0.6185280104550537
0,0,0.6482608417504933
0,0,0.6704242908209762
0,0,0.6449706090206273
0,0,0.6188623577782647
0,0,0.5948757080929262
0,0,0.569045839445108
0,0,0.572680458600383
0,0,0.5761017276250492
2,2,0.5566413048807208
0,0,0.5398364403894553
0,0,0.5215089400016097
0,0,0.5038831567363306
0,0,0.48538477282275244
0,0,0.4597640874175598
0,0,0.4236904060434886
0,0,0.38628017483924704
0,0,0.3562955927900927
0,0,0.3477199384540069
0,0,0.34191512950136377
0,0,0.33613871462236256
2,0,0.33002773396356516
0,0,0.2878273718495937
0,0,0.2544276208997985
0,0,0.27934452462574494
0,0,0.29679699986112035
0,0,0.3152304434603611
0,0,0.33840346800238363
0,0,0.3610529009995188
2,0,0.3865956400990325
0,0,0.38384291874818377
0,0,0.3888240525030372
0,0,0.3927558835808594
1,0,0.3995904594000612
0,0,0.43210673724865317
0,0,0.4650653942255277
0,0,0.4971444495942886
0,0,0.5374300751914621
0,0,0.5691520104024713
0,0,0.5644192444031383
0,0,0.5668699365496739
2,0,0.5665806328890602
0,0,0.5610936565111987
0,0,0.5626723825988135
0,0,0.5709461210314342
0,0,0.6093746006089019
2,0,0.6404382933170631
0,0,0.6833815927070216
0,0,0.7117501055645318
0,0,0.7108355338948358
0,0,0.7059713195369839
1,0,0.7044959369492483
0,0,0.6770891933307966
0,0,0.6479672578060138
0,0,0.634052417168512
0,0,0.6096011487772464
1,0,0.5877001986885674
0,0,0.5910450165442015
0,0,0.5876388593724349
0,0,0.5825275504321715
0,0,0.5730202320343896
0,0,0.5626621719158046
0,0,0.5367672656693455
0,0,0.5291943259846197
0,0,0.5300125069865498
0,0,0.5255551173638258
1,0,0.5267496344258858
0,0,0.5641628044238028
0,0,0.598606350390063
0,0,0.6108938801470652
0,0,0.6363421225770275
0,0,0.658349917562218
0,0,0.6544508857976872
0,0,0.6526694850258935
1,0,0.6492463548410032
0,0,0.6524292816918833
0,0,0.6546261608465923
0,0,0.6615159343138707
2,0,0.6658601398083229
0,0,0.6640433791050242
0,0,0.6682149044427772
0,0,0.6683290678534353
1,0,0.660028458220567
0,0,0.6307185708221177
0,0,0.6116912257932365
0,0,0.5846401891855865
0,0,0.5615450033071572
0,0,0.5414654525391402
0,0,0.5256186947922593
0,0,0.5083735628512547
2,0,0.5059973092226017
0,0,0.5232908395348209
0,0,0.5308872820289694
0,0,0.5367999591380893
0,0,0.5435349367056007
0,0,0.5512099044729218
0,0,0.5505306465926831
0,0,0.5494786969819051
0,0,0.573566681223218
0,0,0.5989237747392445
0,0,0.6238810652901633
0,0,0.6469534611203839
1,1,0.6661701135806286
0,0,0.681950454455741
0,0,0.7007129703886962
0,0,0.7053358924178297
0,0,0.6937434730818235
0,0,0.6877981981535869
0,0,0.6892979038572933
0,0,0.6885750678411321
0,0,0.6846084007946415
0,0,0.6836025365349118
1,0,0.68520839050003
0,0,0.6922810670242302
0,0,0.6903562532337003
0,0,0.6891226748559978
0,0,0.6901821418751337
1,0,0.6894476495089812
0,0,0.7012688906743771
0,0,0.7085942601669043
0,0,0.7063035147940349
0,0,0.7029281633465555
2,0,0.7010766466165548
0,0,0.6727276617470709
0,0,0.6641006271766691
0,0,0.6609251067885338
0,0,0.6627552261857638
0,0,0.6615450971080079
1,0,0.6563718387506001
0,0,0.659710485573558
0,0,0.6647735010126434
0,0,0.662561014332915
0,0,0.6660443808559747
1,0,0.6556673586525101
0,0,0.654746299588552
0,0,0.6484271183015622
0,0,0.6443832370778697
0,0,0.6245689824436429
0,0,0.6427807887961074
0,0,0.6500235706278144
0,0,0.6609600412828432
1,0,0.6663597819215423
0,0,0.6682361004837228
0,0,0.6673750018020066
0,0,0.663306178955953
0,0,0.6601933775516735
0,0,0.6593728044934815
2,0,0.658032959394302
0,0,0.6604287116739588
0,0,0.6534976950504363
0,0,0.6618802351970462
0,0,0.6684200812993359
0,0,0.6903079991063925
