,game_victor,set_victor,momentum_normalized_average,match_id
0,0,0,0.3092953670006365,1
1,0,0,0.3092953670006365,1
2,0,0,0.3092953670006365,1
3,0,0,0.3092953670006365,1
4,0,0,0.3092953670006365,1
5,0,0,0.3410794725005304,1
6,0,0,0.337756473129837,1
7,0,0,0.3043300307206021,1
8,0,0,0.2897576755280954,1
9,1,0,0.3020483288417727,1
10,0,0,0.3378889172781882,1
11,0,0,0.3248785418579066,1
12,0,0,0.3209204136985889,1
13,0,0,0.3256691297452843,1
14,0,0,0.3330000554905333,1
15,0,0,0.3415546678630032,1
16,0,0,0.3441538767124148,1
17,2,0,0.3446039476435839,1
18,0,0,0.3729468096251735,1
19,0,0,0.3985041456559318,1
20,0,0,0.4096014666644586,1
21,0,0,0.4356595385362312,1
22,1,0,0.4739335159801351,1
23,0,0,0.4831416467891898,1
24,0,0,0.4750048720139809,1
25,0,0,0.4475625675809117,1
26,2,0,0.4509872392586114,1
27,0,0,0.4841321013039933,1
28,0,0,0.5068120102440629,1
29,0,0,0.5224393812507776,1
30,0,0,0.5343193139224565,1
31,0,0,0.5529046021367544,1
32,0,0,0.5758444349503692,1
33,0,0,0.5739677261791946,1
34,1,0,0.5686343598718469,1
35,0,0,0.5691517550863578,1
36,0,0,0.5422634980006827,1
37,0,0,0.5473642565627516,1
38,0,0,0.576045408889931,1
39,2,0,0.6062993907016059,1
40,0,0,0.6357626112956561,1
41,0,0,0.640527535205496,1
42,0,0,0.6302237828522185,1
43,0,0,0.625826783363199,1
44,1,0,0.6084080816258006,1
45,0,0,0.6147650404806445,1
46,0,0,0.6221255076618747,1
47,0,0,0.6290369247714477,1
48,0,0,0.6316653754591303,1
49,0,0,0.6375809291660889,1
50,1,0,0.6414210919762385,1
51,0,0,0.6849274435239867,1
52,0,0,0.6946112031771606,1
53,0,0,0.6937931486681506,1
54,0,0,0.6864123783793963,1
55,0,0,0.660379342813577,1
56,0,0,0.684078072947652,1
57,0,0,0.663230011753222,1
58,0,0,0.6387887730773707,1
59,0,0,0.6273445945768632,1
60,0,0,0.5929729961805622,1
61,0,0,0.5710520053826262,1
62,1,1,0.5476144755433445,1
63,0,0,0.5441843083542308,1
64,0,0,0.5104052257006326,1
65,0,0,0.4702538193841309,1
66,2,0,0.4180227035647512,1
67,0,0,0.3783526793756068,1
68,0,0,0.3490939597604818,1
69,0,0,0.3303951256613325,1
70,0,0,0.3279816914596645,1
71,0,0,0.3039973429553997,1
72,0,0,0.3003335587849734,1
73,0,0,0.3039409358280719,1
74,2,0,0.3114793029700494,1
75,0,0,0.3032358532573228,1
76,0,0,0.28708089216014,1
77,0,0,0.2729950036727972,1
78,2,0,0.2478805783975461,1
79,0,0,0.2505610115462152,1
80,0,0,0.2593395849425949,1
81,0,0,0.2678125177657994,1
82,0,0,0.2664383824716607,1
83,0,0,0.2576561838777348,1
84,0,0,0.2537267581361927,1
85,0,0,0.2529444870656147,1
86,1,0,0.2546195619736244,1
87,0,0,0.2864883345349731,1
88,0,0,0.3076344153207587,1
89,0,0,0.3029510101171676,1
90,0,0,0.3130935531150356,1
91,0,0,0.3156316792670651,1
92,0,0,0.355284106441662,1
93,0,0,0.3519325599275118,1
94,0,0,0.3799726500196541,1
95,0,0,0.4184263761285666,1
96,2,0,0.4502734900277812,1
97,0,0,0.4860822266171129,1
98,0,0,0.524786493155761,1
99,0,0,0.5553455229852245,1
100,0,0,0.5832874746195496,1
101,0,0,0.6070132947617457,1
102,0,0,0.610417529552567,1
103,0,0,0.6239624065897463,1
104,1,0,0.6623546140151962,1
105,0,0,0.7017771380866137,1
106,0,0,0.7356811867014318,1
107,0,0,0.7281864183712277,1
108,0,0,0.7571982788986013,1
109,0,0,0.7635812559902155,1
110,0,0,0.7683752835682474,1
111,0,0,0.7763400346683671,1
112,0,0,0.7787544632265738,1
