match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,set_id,game_id,critical_points_p1,faults_p1,points_diff,p1_ave_distance_run,p2_ave_distance_run,distance_diff_p1_p2,distance_diff_p2_p1,p1_distance_last_n,p2_distance_last_n,fatigue_p1
1,Carlos Alcaraz,Nicolas Jarry,00:00:00,1,1,1,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,7.84,2,-1.4298110569737636,1,1,1,1,1,0.0,0.0,0.0,-0.5930773841697787,-0.4430773227676143,-0.6133333333333333,0.6133333333333333,-2.0825644803044776,-2.0475610373032356,0.0
1,Carlos Alcaraz,Nicolas Jarry,00:00:38,1,1,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,0.4591187175206995,0,0,1,1,1,0.0,0.0,0.0,-0.6484399942506126,-0.49789944573394046,-0.9205000000000001,0.9205000000000001,-2.0825644803044776,-2.0475610373032356,0.0
1,Carlos Alcaraz,Nicolas Jarry,00:01:01,1,1,3,0,0,0,0,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4,0.6233734805202181,0,1,0,1,1,0.0,0.0,0.0,-0.014993905414083393,0.4364282639093187,-1.2015999999999996,1.2015999999999996,-2.0825644803044776,-2.0475610373032356,0.0
1,Carlos Alcaraz,Nicolas Jarry,00:01:31,1,1,4,0,0,0,0,1,2,1,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13,1.4446472955178107,2,0,0,1,1,0.0,0.0,0.0,2.750023841434311,4.53875449762142,-1.7516428571428575,1.7516428571428575,-2.0825644803044776,-2.0475610373032356,0.0
1,Carlos Alcaraz,Nicolas Jarry,00:02:21,1,1,5,0,0,0,0,2,2,1,1,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,0.813,1,-0.03364557147785605,4,1,0,1,1,0.0,0.0,0.0,-0.989657473249487,-0.95947820491825,-0.08199999999999996,0.08199999999999996,-2.0825644803044776,-2.0475610373032356,0.0
1,Carlos Alcaraz,Nicolas Jarry,00:02:50,1,1,6,0,0,0,0,3,2,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,-1.265556293974245,2,1,1,1,1,85.33463621112605,85.33463621114713,0.5374298453437496,-0.6456236901233413,-0.7069730916309889,0.3473333333333335,-0.3473333333333335,0.2037753315929178,1.23863162222912,-85.33463621115146
1,Carlos Alcaraz,Nicolas Jarry,00:03:33,1,1,7,0,0,0,0,3,3,1,1,1,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1,-0.28002771597713383,4,0,0,1,1,1.1881678586408577,0.03828303423857995,0.5374298453437496,-0.532526845433445,0.29040740823359473,-5.502000000000001,5.502000000000001,0.18267111434730837,1.1324966966055638,-0.7027889941244213
1,Carlos Alcaraz,Nicolas Jarry,00:04:01,1,1,8,0,0,0,0,4,3,1,2,2,4,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.503,18.067,6,-0.6085372419761709,0,1,1,1,1,2.087296833042951,0.03827777625394624,0.5866175789173301,0.25944752046185754,0.30848548095439393,-0.08057142857142852,0.08057142857142852,0.22922541021773554,1.4495419060636214,-2.57248356076547
1,Carlos Alcaraz,Nicolas Jarry,00:04:48,1,1,9,0,0,0,0,3,3,1,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34.489,24.594,7,1.280392532518292,1,0,0,1,1,0.437656554891895,-0.011727473617740737,0.5621765008857981,1.5183354653521446,0.7881423128595028,1.2368749999999995,-1.2368749999999995,0.3394495519109534,1.398085235077654,-2.0948650312389017
1,Carlos Alcaraz,Nicolas Jarry,00:05:32,1,1,10,0,0,0,0,4,3,1,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,-0.1979003344773746,0,1,1,1,1,0.4375910571568592,-0.011725863032532986,0.610639233949222,0.5360382310665055,0.9963341015506583,-1.032,1.032,-0.1552344909730827,-0.11035480921346982,-0.7505300756095938
